Volatility 3 Framework 2.12.0

Offset	Name
0x2dd2a90	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Rights-Management-Services~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x2e92370	\Windows\System32\Drivers\en-US\pacer.sys.mui
0x2e92e00	\Windows\Fonts\consola.ttf
0x2faa070	\Windows\assembly\NativeImages_v4.0.30319_64\UIAutomationProvider\39fc6729e41bc8cde63d0aeeb9e49024\UIAutomationProvider.ni.dll
0x2faa5f0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-BPA-Models-Package-enduser~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x3281660	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-PeerDist-Server-Full-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x3281b70	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-GroupPolicy-ClientTools-Package-inetsrv~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x3346c70	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Printing-ServerCore-Package-base~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x3346f20	\$Directory
0x35dd5e0	\$Directory
0x35dd800	\Windows\System32\C_1250.NLS
0x35ddf20	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ApisetNamespace-Shell-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x361f280	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-DirectoryServices-DomainController-SrvFnd-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x361f930	\Windows\System32\mshtml.dll
0x361fb70	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-FileReplication-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x37facd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-SKU-Foundation-Package-inetcore~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
